-4872,2714,7756,-798,-3437,-116,-8,-4,77,7756,-798,-3437,-116,-8,-4,77,-657,5377,5957,55,63,12,1625,-657,5377,5957,55,63,12,1625
-490,-1408,7768,-769,-3439,-110,-15,-4,77,7768,-769,-3439,-110,-15,-4,77,-608,5339,5927,74,61,-1,1614,-608,5339,5927,74,61,-1,1614
-18,-18,7783,-757,-3423,-113,-9,-3,77,7783,-757,-3423,-113,-9,-3,77,-650,5337,5945,34,45,21,1618,-650,5337,5945,34,45,21,1618
765,-3858,7780,-779,-3440,-113,-10,-2,77,7780,-779,-3440,-113,-10,-2,77,-643,5365,5964,53,56,8,1625,-643,5365,5964,53,56,8,1625
-2518,1582,7772,-772,-3434,-110,-11,-4,77,7772,-772,-3434,-110,-11,-4,77,-633,5317,5962,46,51,4,1620,-633,5317,5962,46,51,4,1620
-79,-397,7777,-772,-3442,-112,-11,-4,77,7777,-772,-3442,-112,-11,-4,77,-621,5369,5961,64,29,15,1613,-621,5369,5961,64,29,15,1613
-5116,3172,7767,-766,-3480,-108,-13,-4,77,7767,-766,-3480,-108,-13,-4,77,-681,5357,5943,43,41,18,1626,-681,5357,5943,43,41,18,1626
-307,-960,7774,-745,-3444,-108,-11,-4,77,7774,-745,-3444,-108,-11,-4,77,-642,5349,6012,30,49,32,1617,-642,5349,6012,30,49,32,1617
-2610,1506,7778,-765,-3462,-105,-11,-4,77,7778,-765,-3462,-105,-11,-4,77,-652,5290,5948,48,51,18,1623,-652,5290,5948,48,51,18,1623
-1331,278,7784,-774,-3464,-107,-14,-3,77,7784,-774,-3464,-107,-14,-3,77,-625,5350,5949,75,41,-13,1620,-625,5350,5949,75,41,-13,1620
346,2826,7793,-760,-3431,-109,-10,-5,77,7793,-760,-3431,-109,-10,-5,77,-577,5396,5898,55,32,4,1619,-577,5396,5898,55,32,4,1619
-2439,1646,7777,-765,-3460,-105,-11,-4,77,7777,-765,-3460,-105,-11,-4,77,-657,5290,5950,46,50,19,1623,-657,5290,5950,46,50,19,1623
-359,-3415,7788,-781,-3468,-107,-11,-3,77,7788,-781,-3468,-107,-11,-3,77,-679,5366,5960,49,41,10,1625,-679,5366,5960,49,41,10,1625
-2122,3186,7757,-770,-3481,-110,-15,-1,77,7757,-770,-3481,-110,-15,-1,77,-662,5347,5972,39,46,16,1622,-662,5347,5972,39,46,16,1622
1624,1854,7771,-764,-3460,-113,-10,-2,77,7771,-764,-3460,-113,-10,-2,77,-669,5381,5957,56,42,9,1622,-669,5381,5957,56,42,9,1622
-1765,2705,7754,-782,-3495,-111,-10,-3,77,7754,-782,-3495,-111,-10,-3,77,-650,5349,5936,56,55,8,1625,-650,5349,5936,56,55,8,1625
-5399,2996,7771,-773,-3460,-112,-11,-4,77,7771,-773,-3460,-112,-11,-4,77,-675,5321,5967,47,46,11,1625,-675,5321,5967,47,46,11,1625
-1670,-573,7786,-773,-3451,-114,-13,-3,77,7786,-773,-3451,-114,-13,-3,77,-619,5420,5941,38,40,8,1615,-619,5420,5941,38,40,8,1615
-1581,-799,7758,-751,-3461,-113,-12,-2,77,7758,-751,-3461,-113,-12,-2,77,-625,5365,5916,32,40,9,1615,-625,5365,5916,32,40,9,1615
3920,610,7762,-746,-3458,-111,-14,-6,77,7762,-746,-3458,-111,-14,-6,77,-673,5339,5960,48,55,19,1622,-673,5339,5960,48,55,19,1622
-5142,2760,7747,-786,-3463,-111,-12,0,77,7747,-786,-3463,-111,-12,0,77,-673,5351,5992,56,56,7,1625,-673,5351,5992,56,56,7,1625
-1422,-710,7787,-771,-3460,-112,-9,-1,77,7787,-771,-3460,-112,-9,-1,77,-620,5330,5923,55,52,4,1614,-620,5330,5923,55,52,4,1614
-816,52,7774,-773,-3435,-111,-13,-2,77,7774,-773,-3435,-111,-13,-2,77,-623,5350,5961,51,58,8,1618,-623,5350,5961,51,58,8,1618
